,phrase,label,sentiment,subjectivity,language,count
Andrew Dyer,Andrew Dyer,PERSON,0.7,0.6000000000000001,en,1.0
Ryan Gryzbowski,Ryan Gryzbowski,PERSON,0.1,0.4,en,1.0
Apple CarPlay,Apple CarPlay,PERSON,0.2375,0.4875,en,1.0
tomorrowMet Éireann,tomorrowMet Éireann,PERSON,0.0,0.25,en,1.0
Tony Blain,Tony Blain,PERSON,0.0,0.0,en,1.0
New Glenn,New Glenn,PERSON,0.3181818181818182,0.6772727272727272,en,1.0
RFK Jr,RFK Jr,PERSON,0.3181818181818182,0.6772727272727272,en,1.0
Lotus Emira,Lotus Emira,PERSON,-0.25,0.7,en,1.0
Robert SchreiberBerlin,Robert SchreiberBerlin,PERSON,0.25,0.31666666666666665,en,1.0
Andrew Hauser,Andrew Hauser,PERSON,0.0,0.0,en,1.0
The Edmund Fitzgerald Teaches Men How To Feel,The Edmund Fitzgerald Teaches Men How To Feel,PERSON,0.0,0.0,en,1.0
Toyotas Sebastien Ogier,Toyotas Sebastien Ogier,PERSON,0.39999999999999997,0.7999999999999999,en,1.0
Vincent Landais,Vincent Landais,PERSON,0.39999999999999997,0.7999999999999999,en,1.0
Xbox versio,Xbox versio,PERSON,0.13333333333333333,0.5,en,1.0
Siobhán Keegan,Siobhán Keegan,PERSON,-0.2,0.0,en,1.0
Edmund Fitzger,Edmund Fitzger,PERSON,0.0,0.0,en,1.0
Lola Petticrew,Lola Petticrew,PERSON,0.49318181818181817,0.7272727272727273,en,1.0
Geoff Charles,Geoff Charles,PERSON,0.0,0.0,en,1.0
Aya Nagar,Aya Nagar,PERSON,0.20625000000000002,0.7770833333333333,en,1.0
Bangor Teitl Cymraeg,Bangor Teitl Cymraeg,PERSON,0.0,0.0,en,1.0
Ian Tuttle,Ian Tuttle,PERSON,0.1,0.4,en,1.0
Winslow Homer,Winslow Homer,PERSON,0.4777777777777778,0.688888888888889,en,1.0
Daniel Whiteson,Daniel Whiteson,PERSON,0.4,0.5125,en,1.0
Ruth Wilsons,Ruth Wilsons,PERSON,0.0,0.0,en,1.0
Cardo ha,Cardo ha,PERSON,0.0,0.0,en,1.0
Volodymyr Zelensky,Volodymyr Zelensky,PERSON,0.0,0.0,en,1.0
Abdujalil Abdurasulov,Abdujalil Abdurasulov,PERSON,0.0,0.0,en,1.0
Gray Nasca,Gray Nasca,PERSON,0.1875,0.425,en,1.0
Anna Moneymaker,Anna Moneymaker,PERSON,0.0,0.3,en,1.0
Thomas Jefferson,Thomas Jefferson,PERSON,1.0,1.0,en,1.0
Andrea Thuesen,Andrea Thuesen,PERSON,0.21666666666666665,0.4833333333333334,en,1.0
Marco Schwarz,Marco Schwarz,PERSON,0.5125,0.6833333333333333,en,1.0
Garth Cripps,Garth Cripps,PERSON,0.0,0.0,en,1.0
Houstons wea,Houstons wea,PERSON,0.0,0.0,en,1.0
Pennywise the Clown,Pennywise the Clown,PERSON,-0.16666666666666666,0.6666666666666666,en,1.0
John Schneider,John Schneider,PERSON,0.0,0.10000000000000002,en,1.0
Oyster Dako,Oyster Dako,PERSON,-0.08787878787878789,0.38484848484848483,en,1.0
Frank McNally,Frank McNally,PERSON,0.25,0.3333333333333333,en,1.0
Long Covid Edition,Long Covid Edition,PERSON,-0.05,0.4,en,1.0
Brain Rot,Brain Rot,PERSON,-0.05,0.4,en,1.0
Game Pass,Game Pass,PERSON,0.033333333333333326,0.525,en,1.0
Kerry Wan,Kerry Wan,PERSON,0.0,0.0,en,1.0
Wayfare Tavern,Wayfare Tavern,PERSON,-6.938893903907228e-18,0.41875,en,1.0
Aries Horoscope Prediction,Aries Horoscope Prediction,PERSON,0.0,0.0,en,1.0
Jaguar XK8 Convertible at No Reserve,Jaguar XK8 Convertible at No Reserve,PERSON,0.0,0.0,en,1.0
Qingrong Yang,Qingrong Yang,PERSON,-0.1875,0.5,en,1.0
Helge Andreas Norbakken,Helge Andreas Norbakken,PERSON,0.3,0.9,en,1.0
Helge Lien,Helge Lien,PERSON,0.3,0.9,en,1.0
Chair Powell,Chair Powell,PERSON,0.0,0.0,en,1.0
Mario Bava’s,Mario Bava’s,PERSON,-0.16666666666666666,0.43333333333333335,en,1.0
sakchai vongsasiripat,sakchai vongsasiripat,PERSON,-0.09999999999999999,0.5,en,1.0
Mark SavageMusic,Mark SavageMusic,PERSON,0.25,0.25,en,1.0
Caleb AlvaradoOn,Caleb AlvaradoOn,PERSON,-0.1,0.05,en,1.0
Gabriel Harris,Gabriel Harris,PERSON,0.25,0.3666666666666667,en,1.0
LINDSEY HARDING,LINDSEY HARDING,PERSON,0.25,0.3666666666666667,en,1.0
JJ Redick,JJ Redick,PERSON,0.0,0.47500000000000003,en,1.0
Lindsey Harding,Lindsey Harding,PERSON,0.5,0.6,en,1.0
Katrina Schwartz,Katrina Schwartz,PERSON,0.0,0.0,en,1.0
Kristine Dennis,Kristine Dennis,PERSON,0.0,0.0,en,1.0
Laguna Seca Hennessey HPE700,Laguna Seca Hennessey HPE700,PERSON,0.0,0.0,en,1.0
dhund jag,dhund jag,PERSON,0.0,0.0,en,1.0
Met Éir,Met Éir,PERSON,-0.1,0.4,en,1.0
Lincoln Mark LT,Lincoln Mark LT,PERSON,0.15625,0.4625,en,1.0
durch Handy-Standortdaten,durch Handy-Standortdaten,PERSON,0.0,0.0,en,1.0
Das Wichtigste,Das Wichtigste,PERSON,0.0,0.0,en,1.0
Mohammed Hasan,Mohammed Hasan,PERSON,0.4,0.8,en,1.0
Donald Trump,Donald Trump,PERSON,0.1,1.0,en,1.0
Grace McGrade,Grace McGrade,PERSON,0.1,0.25,en,1.0
Edmund Fitzgerald 50th,Edmund Fitzgerald 50th,PERSON,0.0,0.0,en,1.0
Michael Shainblum,Michael Shainblum,PERSON,0.1,0.6535714285714286,en,1.0
Tade Thompson,Tade Thompson,PERSON,0.0,0.0,en,1.0
Ajit Sharma Sa,Ajit Sharma Sa,PERSON,0.26666666666666666,0.48333333333333334,en,1.0
Frederick August Moss,Frederick August Moss,PERSON,0.125,0.16666666666666666,en,1.0
Jan Nu,Jan Nu,PERSON,0.1,0.3,en,1.0
Cat Burns through Celebrity Traitors,Cat Burns through Celebrity Traitors,PERSON,0.25,0.25,en,1.0
Scott Peterson,Scott Peterson,PERSON,-0.05000000000000001,0.3055555555555555,en,1.0
